Longitude Latitude Value
60.472380 24.064227 0.491123
60.501951 24.064227 0.492658
60.531523 24.064227 0.495039
60.561094 24.064227 0.498322
60.590665 24.064227 0.501255
60.620236 24.064227 0.504065
60.649808 24.064227 0.507515
60.679379 24.064227 0.509757
60.708950 24.064227 0.513062
60.738521 24.064227 0.516173
60.768093 24.064227 0.518130
60.797664 24.064227 0.520716
60.827235 24.064227 0.522988
60.856806 24.064227 0.525393
60.886377 24.064227 0.527613
60.915949 24.064227 0.529589
60.945520 24.064227 0.531724
60.975091 24.064227 0.534752
61.004662 24.064227 0.537988
61.034234 24.064227 0.541126
60.442809 24.070371 0.488540
60.472380 24.070371 0.489809
60.501951 24.070371 0.491220
60.531523 24.070371 0.493581
60.561094 24.070371 0.496767
60.590665 24.070371 0.499522
60.620236 24.070371 0.502404
60.649808 24.070371 0.505710
60.679379 24.070371 0.507924
60.708950 24.070371 0.511195
60.738521 24.070371 0.514235
60.768093 24.070371 0.516387
60.797664 24.070371 0.518922
60.827235 24.070371 0.521289
60.856806 24.070371 0.523672
60.886377 24.070371 0.525778
60.915949 24.070371 0.527576
60.945520 24.070371 0.529782
60.975091 24.070371 0.532681
61.004662 24.070371 0.536223
61.034234 24.070371 0.539064
61.063805 24.070371 0.541860
61.093376 24.070371 0.544553
61.122947 24.070371 0.546840
60.383667 24.076514 0.482366
60.413238 24.076514 0.485600
60.442809 24.076514 0.487064
60.472380 24.076514 0.488226
60.501951 24.076514 0.489823
60.531523 24.076514 0.492154
60.561094 24.076514 0.495106
60.590665 24.076514 0.497971
60.620236 24.076514 0.500718
60.649808 24.076514 0.503891
60.679379 24.076514 0.506191
60.708950 24.076514 0.509244
60.738521 24.076514 0.512498
60.768093 24.076514 0.514828
60.797664 24.076514 0.517280
60.827235 24.076514 0.519440
60.856806 24.076514 0.521732
60.886377 24.076514 0.524066
60.915949 24.076514 0.525682
60.945520 24.076514 0.528088
60.975091 24.076514 0.530941
61.004662 24.076514 0.534182
61.034234 24.076514 0.537144
61.063805 24.076514 0.539870
61.093376 24.076514 0.542677
61.122947 24.076514 0.544951
61.152518 24.076514 0.547243
61.182090 24.076514 0.549668
61.211661 24.076514 0.550883
60.354095 24.082658 0.477950
60.383667 24.082658 0.481325
60.413238 24.082658 0.484759
60.442809 24.082658 0.485447
60.472380 24.082658 0.486979
60.501951 24.082658 0.488477
60.531523 24.082658 0.490695
60.561094 24.082658 0.493610
60.590665 24.082658 0.496211
60.620236 24.082658 0.499079
60.649808 24.082658 0.502217
60.679379 24.082658 0.504437
60.708950 24.082658 0.507701
60.738521 24.082658 0.510857
60.768093 24.082658 0.513146
60.797664 24.082658 0.515600
60.827235 24.082658 0.517832
60.856806 24.082658 0.519996
60.886377 24.082658 0.522006
60.915949 24.082658 0.523795
60.945520 24.082658 0.526392
60.975091 24.082658 0.529045
61.004662 24.082658 0.532226
61.034234 24.082658 0.535023
61.063805 24.082658 0.537997
61.093376 24.082658 0.541016
61.122947 24.082658 0.543509
61.152518 24.082658 0.545784
61.182090 24.082658 0.547668
61.211661 24.082658 0.549033
61.241232 24.082658 0.550275
61.270803 24.082658 0.551978
61.300375 24.082658 0.553994
60.324524 24.088802 0.473335
60.354095 24.088802 0.476855
60.383667 24.088802 0.480157
60.413238 24.088802 0.483563
60.442809 24.088802 0.484108
60.472380 24.088802 0.485599
60.501951 24.088802 0.486959
60.531523 24.088802 0.489302
60.561094 24.088802 0.492150
60.590665 24.088802 0.494656
60.620236 24.088802 0.497444
60.649808 24.088802 0.500335
60.679379 24.088802 0.502533
60.708950 24.088802 0.505886
60.738521 24.088802 0.509029
60.768093 24.088802 0.511612
60.797664 24.088802 0.513732
60.827235 24.088802 0.516223
60.856806 24.088802 0.518323
60.886377 24.088802 0.520076
60.915949 24.088802 0.521943
60.945520 24.088802 0.524615
60.975091 24.088802 0.527343
61.004662 24.088802 0.530440
61.034234 24.088802 0.533055
61.063805 24.088802 0.536062
61.093376 24.088802 0.539126
61.122947 24.088802 0.542046
61.152518 24.088802 0.544109
61.182090 24.088802 0.545769
61.211661 24.088802 0.547152
61.241232 24.088802 0.548308
61.270803 24.088802 0.549902
61.300375 24.088802 0.552254
61.329946 24.088802 0.554539
61.359517 24.088802 0.556261
61.389088 24.088802 0.558356
60.265382 24.094945 0.464761
60.294953 24.094945 0.468589
60.324524 24.094945 0.472114
60.354095 24.094945 0.475736
60.383667 24.094945 0.479103
60.413238 24.094945 0.481779
60.442809 24.094945 0.482616
60.472380 24.094945 0.484274
60.501951 24.094945 0.485687
60.531523 24.094945 0.487769
60.561094 24.094945 0.490492
60.590665 24.094945 0.492923
60.620236 24.094945 0.495768
60.649808 24.094945 0.498539
60.679379 24.094945 0.500839
60.708950 24.094945 0.504090
60.738521 24.094945 0.507501
60.768093 24.094945 0.509816
60.797664 24.094945 0.512102
60.827235 24.094945 0.514423
60.856806 24.094945 0.516603
60.886377 24.094945 0.518425
60.915949 24.094945 0.520313
60.945520 24.094945 0.522848
60.975091 24.094945 0.525591
61.004662 24.094945 0.528491
61.034234 24.094945 0.530924
61.063805 24.094945 0.533938
61.093376 24.094945 0.537332
61.122947 24.094945 0.540529
61.152518 24.094945 0.542628
61.182090 24.094945 0.544085
61.211661 24.094945 0.545221
61.241232 24.094945 0.546460
61.270803 24.094945 0.548071
61.300375 24.094945 0.550523
61.329946 24.094945 0.552420
61.359517 24.094945 0.554294
61.389088 24.094945 0.556478
61.418660 24.094945 0.558525
61.448231 24.094945 0.561373
60.235810 24.101089 0.459928
60.265382 24.101089 0.463669
60.294953 24.101089 0.467302
60.324524 24.101089 0.471048
60.354095 24.101089 0.474711
